Time (ms),y target (mm),y tip (mm)
39128,-0.2345832,-0.07954973
39178,-0.2330768,-0.08758546
39228,-0.2316656,-0.09298573
39278,-0.2315845,-0.1038451
39328,-0.2329031,-0.1124373
39378,-0.2332581,-0.1169171
39428,-0.2343012,-0.1252983
39478,-0.2332185,-0.1327245
39528,-0.2308069,-0.1414123
39578,-0.2299763,-0.1441006
39628,-0.2284806,-0.1492056
39678,-0.2276261,-0.1492693
39728,-0.2271673,-0.1477209
39778,-0.2263225,-0.1478098
39828,-0.2263457,-0.1488609
39878,-0.2264677,-0.149171
39928,-0.2171941,-0.1489417
40029,-0.07738554,-0.1474332
40079,0.01040335,-0.1472028
40129,0.03680612,-0.1471979
40179,0.0553231,-0.1469514
40229,0.06398505,-0.1426414
40279,0.06578855,-0.1391608
40329,0.07384804,-0.1301233
40379,0.07183227,-0.1260198
40429,0.07714745,-0.1219771
40479,0.07522403,-0.1182567
40529,0.08030768,-0.109079
40579,0.08228801,-0.09842874
40629,0.08239131,-0.09143008
40679,0.08457454,-0.08236124
40729,0.08476818,-0.07769031
40779,0.08844043,-0.06632407
40829,0.0888716,-0.05615354
40879,0.09166458,-0.04643713
40929,0.0952761,-0.03772806
40979,0.09703067,-0.03349599
41029,0.09869448,-0.0311206
41079,0.09881897,-0.0306624
41129,0.09974296,-0.0301625
41179,0.1005116,-0.03060711
41229,0.09735944,-0.02952075
41279,0.08552457,-0.0306064
41329,0.03436376,-0.02981614
41379,-0.1130307,-0.02934756
41429,-0.1904063,-0.03051162
41479,-0.2335265,-0.03614439
41529,-0.2200886,-0.04475203
41630,-0.2299236,-0.06123633
41680,-0.2369938,-0.06355713
41730,-0.2265933,-0.06915253
41780,-0.2286884,-0.07417677
41830,-0.2217575,-0.08546353
41880,-0.2234328,-0.08905361
41930,-0.2192036,-0.0969529
41980,-0.2189488,-0.1069555
42030,-0.2192774,-0.1112249
42080,-0.2193677,-0.1203159
42130,-0.2191983,-0.130124
42180,-0.219022,-0.1341337
42230,-0.2195762,-0.1400432
42280,-0.2192347,-0.1442641
42330,-0.2182533,-0.1505137
42380,-0.2177447,-0.1491162
42430,-0.2181081,-0.1469628
42480,-0.2169757,-0.1475108
42530,-0.2152613,-0.1490976
42580,-0.2077892,-0.1494747
42630,-0.1955051,-0.1488362
42680,-0.1742907,-0.149192
42730,-0.1308722,-0.1490749
42780,-0.06002169,-0.1474526
42830,-0.026732,-0.147403
42880,0.02566794,-0.1475866
42930,0.03857195,-0.1473771
42980,0.06273311,-0.1430393
43030,0.07068278,-0.134611
43080,0.07583808,-0.1294245
43130,0.07671528,-0.1277661
43180,0.07859214,-0.1252247
43230,0.07983848,-0.1178708
43280,0.07754122,-0.1070054
43330,0.07956216,-0.09798415
43380,0.07816849,-0.09510797
43430,0.08000623,-0.0873215
43480,0.08123522,-0.07845842
43530,0.08388866,-0.06836049
43580,0.08686722,-0.05615117
43630,0.08872253,-0.04624568
43680,0.09103839,-0.03737859
43730,0.09253075,-0.0317932
43780,0.09374133,-0.02966283
43830,0.09488961,-0.03230399
43880,0.09260288,-0.03229959
43930,0.08771117,-0.0305793
43980,0.004574428,-0.03012166
44030,-0.08156841,-0.03087037
44080,-0.1312844,-0.03087408
44130,-0.1762304,-0.03446302
44180,-0.1839362,-0.04192346
44230,-0.2120376,-0.05633663
44280,-0.2184746,-0.06098686
44330,-0.2195966,-0.0643651
