Time (ms),y target (mm),y tip (mm)
19299,0.09379391,-0.004524454
19324,0.08003858,-0.004263357
19349,0.0646824,-0.006291766
19374,0.05198359,-0.007715419
19399,0.05198359,-0.007715419
19424,0.03865341,-0.008083151
19449,0.02966753,-0.007336883
19474,0.009922314,-0.00582964
19499,0.009922314,-0.00582964
19524,-0.003746666,-0.005751079
19549,-0.01275033,-0.006396552
19574,-0.02661907,-0.007756948
19599,-0.03943236,-0.0118176
19624,-0.04760012,-0.01729116
19649,-0.04760012,-0.01729116
19674,-0.06424995,-0.0288478
19699,-0.07499566,-0.03719977
19724,-0.07499566,-0.03719977
19749,-0.08648055,-0.04337232
19774,-0.09744814,-0.04822154
19799,-0.106754,-0.05372793
19824,-0.1170358,-0.05967604
19849,-0.1170358,-0.05967604
19874,-0.1244937,-0.06390415
19899,-0.1407119,-0.07072175
19924,-0.1407119,-0.07072175
19949,-0.1513764,-0.07199705
19974,-0.1513764,-0.07199705
19999,-0.1627243,-0.07070047
20024,-0.1788359,-0.06803858
20049,-0.1788359,-0.06803858
20074,-0.1892215,-0.06770694
20099,-0.1997464,-0.06892994
20124,-0.2066155,-0.07180412
20149,-0.2066155,-0.07180412
20174,-0.2153223,-0.0762772
20199,-0.2247605,-0.08328595
20224,-0.2247605,-0.08328595
20249,-0.2303125,-0.08905177
20274,-0.2358302,-0.09487379
20299,-0.2420666,-0.101962
20324,-0.2420666,-0.101962
20349,-0.2451136,-0.1080822
20374,-0.2469655,-0.1204262
20399,-0.2469655,-0.1204262
20424,-0.2467547,-0.129003
20449,-0.2429831,-0.1385058
20474,-0.2429831,-0.1385058
20499,-0.2374248,-0.1412044
20524,-0.2328428,-0.1395158
20549,-0.2262643,-0.1369019
20574,-0.2120467,-0.1338773
20599,-0.2015224,-0.1341209
20624,-0.2015224,-0.1341209
20649,-0.1892482,-0.1356772
20674,-0.1682405,-0.1381806
20699,-0.1682405,-0.1381806
20724,-0.1514746,-0.1386912
20749,-0.1336141,-0.1379165
20774,-0.1197821,-0.1371144
20799,-0.1063294,-0.1365351
20824,-0.09203295,-0.1360597
20849,-0.07043418,-0.1346941
20874,-0.05465006,-0.1325903
20899,-0.05465006,-0.1325903
20924,-0.03581498,-0.1285947
20949,-0.01727189,-0.1242703
20974,-0.0008002473,-0.1190706
20999,0.0157362,-0.1146328
21024,0.0157362,-0.1146328
21049,0.03120461,-0.1086344
21074,0.03120461,-0.1086344
21099,0.04496248,-0.1042889
21124,0.0589972,-0.09720258
21149,0.06620456,-0.0923727
21174,0.07750706,-0.08625407
21199,0.08811385,-0.08118741
21224,0.08811385,-0.08118741
21249,0.09477799,-0.07855219
21274,0.101569,-0.07611886
21299,0.1106794,-0.07272942
21324,0.1223144,-0.06752089
21349,0.1287464,-0.06380273
21374,0.1342928,-0.06002464
21399,0.1342928,-0.06002464
21424,0.1428446,-0.05377103
21449,0.1490807,-0.04954895
21474,0.1558126,-0.04400933
21499,0.1558126,-0.04400933
21524,0.1640951,-0.03670135
21549,0.1697652,-0.02834708
21574,0.1722023,-0.0210635
